id,type,description,source
EVID_02956,Account Records,Encrypted smartphone,Personal device
EVID_02957,USB Device,Encrypted smartphone,Internal audit
EVID_02958,Email Logs,External USB,IT department
EVID_02959,Cloud Storage,External USB,Personal device
EVID_02960,Network Logs,Bank transaction logs,Personal device
EVID_02961,USB Device,Financial records,IT department
EVID_02962,Hard Drive,Unauthorized access logs,IT department
EVID_02963,Server Image,Financial records,Financial institution
EVID_02964,Account Records,Forged documents,Office search
EVID_02965,Network Logs,Deleted files recovery,IT department
EVID_02966,USB Device,Malware traces,Internal audit
EVID_02967,Database Dump,Financial records,Office search
EVID_02968,Cloud Storage,Forged documents,Office search
EVID_02969,USB Device,Unauthorized access logs,Office search
EVID_02970,Account Records,Financial records,Corporate network
EVID_02971,USB Device,Unauthorized access logs,Office search
EVID_02972,Server Image,Malware traces,Personal device
EVID_02973,Network Logs,Unauthorized access logs,Corporate network
EVID_02974,Laptop Image,Forged documents,Corporate network
EVID_02975,Account Records,Encrypted smartphone,Cloud provider
EVID_02976,USB Device,Forged documents,Personal device
EVID_02977,USB Device,Suspicious email chain,Personal device
EVID_02978,Mobile Phone,Encrypted smartphone,Financial institution
EVID_02979,Hard Drive,Encrypted smartphone,Internal audit
EVID_02980,Database Dump,Bank transaction logs,Personal device
EVID_02981,Cloud Storage,Bank transaction logs,Law enforcement
EVID_02982,Network Logs,Encrypted smartphone,Law enforcement
EVID_02983,Account Records,Malware traces,Financial institution
EVID_02984,Server Image,Financial records,Office search
EVID_02985,Network Logs,Suspicious email chain,Office search
EVID_02986,Email Logs,Encrypted smartphone,Personal device
EVID_02987,Email Logs,Bank transaction logs,Law enforcement
EVID_02988,USB Device,Suspicious email chain,Law enforcement
EVID_02989,Hard Drive,Financial records,Cloud provider
EVID_02990,Hard Drive,Financial records,Internal audit
EVID_02991,Laptop Image,Malware traces,Office search
EVID_02992,Email Logs,Deleted files recovery,IT department
EVID_02993,Cloud Storage,Financial records,Office search
EVID_02994,Cloud Storage,Financial records,IT department
EVID_02995,Cloud Storage,Deleted files recovery,IT department
EVID_02996,Server Image,Deleted files recovery,Personal device
EVID_02997,Server Image,Bank transaction logs,Law enforcement
EVID_02998,Laptop Image,Suspect laptop,Cloud provider
EVID_02999,Database Dump,Malware traces,Internal audit
EVID_03000,Mobile Phone,Deleted files recovery,Corporate network
EVID_03001,USB Device,Encrypted smartphone,Office search
EVID_03002,Mobile Phone,Deleted files recovery,IT department
EVID_03003,Hard Drive,Suspect laptop,Corporate network
EVID_03004,Cloud Storage,Encrypted smartphone,Law enforcement
EVID_03005,Account Records,Unauthorized access logs,Corporate network
EVID_03006,Cloud Storage,Malware traces,Office search
EVID_03007,Laptop Image,Suspicious email chain,Internal audit
EVID_03008,Hard Drive,Suspicious email chain,Internal audit
EVID_03009,USB Device,Suspect laptop,Corporate network
EVID_03010,Hard Drive,Unauthorized access logs,IT department
EVID_03011,Email Logs,Financial records,Internal audit
EVID_03012,Hard Drive,Deleted files recovery,Personal device
EVID_03013,USB Device,Suspect laptop,Cloud provider
EVID_03014,Hard Drive,Suspect laptop,Office search
EVID_03015,Hard Drive,Suspect laptop,Internal audit
EVID_03016,Laptop Image,Malware traces,Corporate network
EVID_03017,USB Device,Bank transaction logs,IT department
EVID_03018,Database Dump,Encrypted smartphone,Internal audit
EVID_03019,Network Logs,Unauthorized access logs,Cloud provider
EVID_03020,Hard Drive,Deleted files recovery,Internal audit
EVID_03021,Mobile Phone,External USB,IT department
EVID_03022,Database Dump,External USB,IT department
EVID_03023,Account Records,Financial records,Personal device
EVID_03024,Email Logs,Suspect laptop,Personal device
EVID_03025,Email Logs,Suspect laptop,Law enforcement
EVID_03026,Account Records,Encrypted smartphone,Law enforcement
EVID_03027,Network Logs,Unauthorized access logs,Cloud provider
EVID_03028,Laptop Image,Malware traces,Law enforcement
EVID_03029,Mobile Phone,Forged documents,Office search
EVID_03030,Cloud Storage,Suspicious email chain,IT department
EVID_03031,Server Image,Malware traces,Financial institution
EVID_03032,Account Records,Encrypted smartphone,IT department
EVID_03033,Network Logs,Malware traces,Personal device
EVID_03034,Laptop Image,Suspicious email chain,Corporate network
EVID_03035,Cloud Storage,Malware traces,Cloud provider
EVID_03036,Hard Drive,Suspect laptop,Corporate network
EVID_03037,Mobile Phone,Suspect laptop,IT department
EVID_03038,Mobile Phone,Unauthorized access logs,Cloud provider
EVID_03039,Cloud Storage,External USB,Law enforcement
EVID_03040,Email Logs,External USB,Personal device
EVID_03041,Cloud Storage,Deleted files recovery,Office search
EVID_03042,Cloud Storage,Deleted files recovery,Financial institution
EVID_03043,Email Logs,Unauthorized access logs,Office search
EVID_03044,Hard Drive,Malware traces,Corporate network
EVID_03045,Server Image,Financial records,Law enforcement
EVID_03046,Email Logs,Unauthorized access logs,Personal device
EVID_03047,Server Image,Deleted files recovery,Internal audit
EVID_03048,Mobile Phone,Encrypted smartphone,Office search
EVID_03049,Email Logs,Suspect laptop,Internal audit
EVID_03050,Mobile Phone,Unauthorized access logs,IT department
EVID_03051,Hard Drive,Encrypted smartphone,IT department
EVID_03052,Laptop Image,Encrypted smartphone,Corporate network
EVID_03053,Hard Drive,Suspect laptop,Office search
EVID_03054,Server Image,Malware traces,Financial institution
EVID_03055,Hard Drive,Suspicious email chain,Internal audit
EVID_03056,Hard Drive,Forged documents,Corporate network
EVID_03057,Mobile Phone,Bank transaction logs,Office search
EVID_03058,Server Image,Suspect laptop,Cloud provider
EVID_03059,Hard Drive,Bank transaction logs,IT department
EVID_03060,Laptop Image,Bank transaction logs,Cloud provider
EVID_03061,Hard Drive,Suspect laptop,Office search
EVID_03062,Server Image,Suspect laptop,Personal device
EVID_03063,Cloud Storage,Suspicious email chain,Financial institution
EVID_03064,Server Image,Encrypted smartphone,Personal device
EVID_03065,Server Image,Financial records,Personal device
EVID_03066,Mobile Phone,Suspect laptop,Cloud provider
EVID_03067,Laptop Image,Financial records,Corporate network
EVID_03068,Email Logs,Deleted files recovery,Personal device
EVID_03069,Email Logs,External USB,Internal audit
EVID_03070,Email Logs,Deleted files recovery,Law enforcement
EVID_03071,Email Logs,Encrypted smartphone,Financial institution
EVID_03072,Email Logs,Forged documents,IT department
EVID_03073,Server Image,External USB,Financial institution
EVID_03074,Database Dump,Suspect laptop,IT department
EVID_03075,USB Device,Suspect laptop,Internal audit
EVID_03076,Database Dump,Financial records,Internal audit
EVID_03077,Email Logs,Encrypted smartphone,Law enforcement
EVID_03078,Mobile Phone,Financial records,Cloud provider
EVID_03079,Email Logs,Forged documents,Corporate network
EVID_03080,Laptop Image,Forged documents,Financial institution
EVID_03081,Hard Drive,Forged documents,IT department
EVID_03082,Hard Drive,Forged documents,Cloud provider
EVID_03083,Network Logs,Deleted files recovery,Personal device
EVID_03084,Hard Drive,External USB,Corporate network
EVID_03085,Network Logs,Deleted files recovery,Personal device
EVID_03086,Mobile Phone,Deleted files recovery,Financial institution
EVID_03087,Mobile Phone,Unauthorized access logs,Law enforcement
EVID_03088,Database Dump,Encrypted smartphone,Financial institution
EVID_03089,Network Logs,Financial records,Personal device
EVID_03090,Account Records,Encrypted smartphone,Law enforcement
EVID_03091,Laptop Image,Encrypted smartphone,Office search
EVID_03092,Laptop Image,Bank transaction logs,Internal audit
EVID_03093,USB Device,Suspicious email chain,Personal device
EVID_03094,Mobile Phone,Malware traces,Internal audit
EVID_03095,Mobile Phone,Suspicious email chain,Cloud provider
EVID_03096,Email Logs,Deleted files recovery,Corporate network
EVID_03097,Database Dump,External USB,Internal audit
EVID_03098,Email Logs,Forged documents,Internal audit
EVID_03099,Laptop Image,Suspicious email chain,Cloud provider
EVID_03100,Laptop Image,Financial records,Financial institution
EVID_03101,Database Dump,Bank transaction logs,Cloud provider
EVID_03102,Email Logs,Malware traces,Financial institution
EVID_03103,Mobile Phone,Forged documents,Law enforcement
EVID_03104,USB Device,Suspect laptop,Law enforcement
EVID_03105,Email Logs,Financial records,Internal audit
EVID_03106,Cloud Storage,Unauthorized access logs,Law enforcement
EVID_03107,Account Records,Deleted files recovery,Cloud provider
EVID_03108,Mobile Phone,Bank transaction logs,Cloud provider
EVID_03109,Hard Drive,Suspicious email chain,Internal audit
EVID_03110,Hard Drive,Financial records,IT department
EVID_03111,Account Records,Malware traces,Law enforcement
EVID_03112,Email Logs,Financial records,Law enforcement
EVID_03113,Hard Drive,Encrypted smartphone,Corporate network
EVID_03114,Network Logs,Malware traces,Corporate network
EVID_03115,USB Device,Suspicious email chain,Cloud provider
EVID_03116,Network Logs,Suspicious email chain,Corporate network
EVID_03117,Hard Drive,Unauthorized access logs,IT department
EVID_03118,Database Dump,Forged documents,Law enforcement
EVID_03119,Mobile Phone,External USB,Internal audit
EVID_03120,Account Records,Unauthorized access logs,Corporate network
EVID_03121,Laptop Image,Unauthorized access logs,Office search
EVID_03122,Laptop Image,Unauthorized access logs,Office search
EVID_03123,USB Device,External USB,Cloud provider
EVID_03124,Server Image,Financial records,Cloud provider
EVID_03125,Mobile Phone,Encrypted smartphone,Cloud provider
EVID_03126,Mobile Phone,Financial records,Corporate network
EVID_03127,Network Logs,External USB,Internal audit
EVID_03128,Account Records,Financial records,IT department
EVID_03129,USB Device,Financial records,Personal device
EVID_03130,Network Logs,Forged documents,Corporate network
EVID_03131,Network Logs,Unauthorized access logs,Personal device
EVID_03132,Network Logs,Malware traces,Internal audit
EVID_03133,USB Device,Deleted files recovery,Personal device
EVID_03134,Mobile Phone,Encrypted smartphone,IT department
EVID_03135,Server Image,Encrypted smartphone,Cloud provider
EVID_03136,Laptop Image,Malware traces,Personal device
EVID_03137,Email Logs,Deleted files recovery,Financial institution
EVID_03138,USB Device,Suspicious email chain,Cloud provider
EVID_03139,Laptop Image,Suspect laptop,Financial institution
EVID_03140,USB Device,Malware traces,IT department
EVID_03141,Database Dump,External USB,Law enforcement
EVID_03142,Mobile Phone,Deleted files recovery,Cloud provider
EVID_03143,Email Logs,Financial records,Internal audit
EVID_03144,Server Image,Bank transaction logs,Cloud provider
EVID_03145,Hard Drive,Encrypted smartphone,Cloud provider
EVID_03146,Email Logs,Encrypted smartphone,Personal device
EVID_03147,Cloud Storage,Bank transaction logs,Personal device
EVID_03148,Network Logs,Financial records,IT department
EVID_03149,Network Logs,Encrypted smartphone,Personal device
EVID_03150,Account Records,Malware traces,Law enforcement
EVID_03151,Account Records,Encrypted smartphone,Law enforcement
EVID_03152,Cloud Storage,Financial records,Internal audit
EVID_03153,Laptop Image,Suspicious email chain,IT department
EVID_03154,Account Records,Financial records,Personal device
EVID_03155,Laptop Image,Suspicious email chain,Corporate network
EVID_03156,Account Records,Suspicious email chain,Law enforcement
EVID_03157,Server Image,Malware traces,Office search
EVID_03158,Cloud Storage,Bank transaction logs,Cloud provider
EVID_03159,Network Logs,Suspicious email chain,Law enforcement
EVID_03160,Email Logs,Deleted files recovery,Financial institution
EVID_03161,Laptop Image,Forged documents,Personal device
EVID_03162,USB Device,Unauthorized access logs,IT department
EVID_03163,Laptop Image,Suspicious email chain,Cloud provider
EVID_03164,Network Logs,Unauthorized access logs,Internal audit
EVID_03165,Network Logs,Malware traces,IT department
EVID_03166,Mobile Phone,Financial records,Law enforcement
EVID_03167,Account Records,Malware traces,Internal audit
EVID_03168,Hard Drive,Malware traces,Corporate network
EVID_03169,Laptop Image,Malware traces,Financial institution
EVID_03170,Cloud Storage,Malware traces,Corporate network
EVID_03171,Database Dump,Forged documents,Cloud provider
EVID_03172,Email Logs,Malware traces,IT department
EVID_03173,Hard Drive,Suspicious email chain,Corporate network
EVID_03174,Mobile Phone,Financial records,Personal device
EVID_03175,Network Logs,Deleted files recovery,Personal device
EVID_03176,Email Logs,Suspect laptop,Internal audit
EVID_03177,Account Records,Encrypted smartphone,Cloud provider
EVID_03178,Network Logs,Encrypted smartphone,Corporate network
EVID_03179,USB Device,Encrypted smartphone,Financial institution
EVID_03180,Account Records,Unauthorized access logs,IT department
EVID_03181,Network Logs,Financial records,Cloud provider
EVID_03182,Hard Drive,Financial records,Financial institution
EVID_03183,Network Logs,Deleted files recovery,Corporate network
EVID_03184,Mobile Phone,Deleted files recovery,Financial institution
EVID_03185,Mobile Phone,Suspect laptop,Cloud provider
EVID_03186,Network Logs,Bank transaction logs,Internal audit
EVID_03187,Hard Drive,Financial records,Law enforcement
EVID_03188,Hard Drive,Suspicious email chain,Financial institution
EVID_03189,Account Records,Forged documents,Cloud provider
EVID_03190,Server Image,Encrypted smartphone,Office search
EVID_03191,Email Logs,Forged documents,IT department
EVID_03192,Cloud Storage,External USB,Personal device
EVID_03193,Server Image,Suspect laptop,Office search
EVID_03194,Laptop Image,Financial records,Law enforcement
EVID_03195,Network Logs,Bank transaction logs,Law enforcement
EVID_03196,Network Logs,Unauthorized access logs,Corporate network
EVID_03197,Server Image,Financial records,Office search
EVID_03198,Network Logs,External USB,Cloud provider
EVID_03199,Cloud Storage,External USB,Personal device
EVID_03200,USB Device,Encrypted smartphone,Financial institution
EVID_03201,Mobile Phone,Malware traces,Cloud provider
EVID_03202,Database Dump,Suspicious email chain,Office search
EVID_03203,Server Image,Forged documents,Internal audit
EVID_03204,Mobile Phone,Bank transaction logs,Financial institution
EVID_03205,Database Dump,Suspect laptop,Corporate network
EVID_03206,Cloud Storage,Malware traces,Financial institution
EVID_03207,Hard Drive,Bank transaction logs,IT department
EVID_03208,Account Records,Malware traces,Personal device
EVID_03209,Email Logs,Forged documents,Cloud provider
EVID_03210,Account Records,Suspicious email chain,IT department
EVID_03211,Network Logs,Suspicious email chain,Internal audit
EVID_03212,Database Dump,Financial records,Internal audit
EVID_03213,Hard Drive,Unauthorized access logs,Corporate network
EVID_03214,Laptop Image,Bank transaction logs,Cloud provider
EVID_03215,Email Logs,Bank transaction logs,Office search
EVID_03216,Network Logs,Encrypted smartphone,Office search
EVID_03217,Hard Drive,Bank transaction logs,Corporate network
EVID_03218,Mobile Phone,Malware traces,Financial institution
EVID_03219,Server Image,External USB,Personal device
EVID_03220,Laptop Image,Suspect laptop,Corporate network
EVID_03221,Cloud Storage,Financial records,IT department
EVID_03222,Account Records,Forged documents,Corporate network
EVID_03223,Network Logs,Financial records,Personal device
EVID_03224,Email Logs,Malware traces,Financial institution
EVID_03225,Email Logs,Forged documents,Corporate network
EVID_03226,Server Image,Deleted files recovery,Cloud provider
EVID_03227,Network Logs,Forged documents,Office search
EVID_03228,Server Image,Bank transaction logs,Office search
EVID_03229,Database Dump,Forged documents,Office search
EVID_03230,USB Device,Unauthorized access logs,Personal device
EVID_03231,Network Logs,Malware traces,Personal device
EVID_03232,Hard Drive,Bank transaction logs,Personal device
EVID_03233,Laptop Image,Bank transaction logs,Corporate network
EVID_03234,Database Dump,Unauthorized access logs,Cloud provider
EVID_03235,Hard Drive,Encrypted smartphone,Cloud provider
EVID_03236,Database Dump,Suspect laptop,Personal device
EVID_03237,Mobile Phone,Bank transaction logs,Internal audit
EVID_03238,Mobile Phone,Suspect laptop,Financial institution
EVID_03239,Network Logs,Bank transaction logs,Financial institution
EVID_03240,Hard Drive,Financial records,Office search
EVID_03241,Account Records,Forged documents,Cloud provider
EVID_03242,USB Device,External USB,Law enforcement
EVID_03243,Mobile Phone,Suspicious email chain,Corporate network
EVID_03244,Laptop Image,Financial records,Internal audit
EVID_03245,Network Logs,External USB,Office search
EVID_03246,Network Logs,Deleted files recovery,Personal device
EVID_03247,Server Image,Suspicious email chain,Office search
EVID_03248,Cloud Storage,Suspect laptop,Law enforcement
EVID_03249,Server Image,Financial records,Cloud provider
EVID_03250,USB Device,Suspect laptop,Office search
EVID_03251,Server Image,Deleted files recovery,Cloud provider
EVID_03252,Server Image,External USB,Corporate network
EVID_03253,Server Image,Suspicious email chain,Corporate network
EVID_03254,Mobile Phone,Suspect laptop,IT department
EVID_03255,Database Dump,Forged documents,Internal audit
EVID_03256,USB Device,Forged documents,Cloud provider
EVID_03257,Hard Drive,Financial records,Office search
EVID_03258,Hard Drive,External USB,Personal device
EVID_03259,Network Logs,Deleted files recovery,Internal audit
EVID_03260,Laptop Image,Encrypted smartphone,Office search
EVID_03261,USB Device,Unauthorized access logs,Law enforcement
EVID_03262,Account Records,Deleted files recovery,Law enforcement
EVID_03263,Account Records,Suspicious email chain,Internal audit
EVID_03264,Account Records,External USB,Law enforcement
EVID_03265,Cloud Storage,Forged documents,Internal audit
EVID_03266,Cloud Storage,Unauthorized access logs,Law enforcement
EVID_03267,Account Records,Encrypted smartphone,Corporate network
EVID_03268,Network Logs,Deleted files recovery,Corporate network
EVID_03269,Hard Drive,Suspicious email chain,Personal device
EVID_03270,Server Image,Suspicious email chain,Financial institution
EVID_03271,Network Logs,Suspicious email chain,Corporate network
EVID_03272,Mobile Phone,Bank transaction logs,Law enforcement
EVID_03273,Hard Drive,Unauthorized access logs,Financial institution
EVID_03274,Mobile Phone,Forged documents,Law enforcement
EVID_03275,Hard Drive,Financial records,Cloud provider
EVID_03276,Email Logs,Suspect laptop,Personal device
EVID_03277,Hard Drive,Malware traces,Cloud provider
EVID_03278,Mobile Phone,Deleted files recovery,IT department
EVID_03279,Hard Drive,Bank transaction logs,Office search
EVID_03280,Account Records,Suspect laptop,Law enforcement
EVID_03281,Database Dump,Financial records,IT department
EVID_03282,Hard Drive,Forged documents,Cloud provider
EVID_03283,Database Dump,Encrypted smartphone,Law enforcement
EVID_03284,Email Logs,Suspect laptop,Office search
EVID_03285,Hard Drive,Suspicious email chain,Corporate network
EVID_03286,Email Logs,Suspect laptop,Law enforcement
EVID_03287,Network Logs,Suspicious email chain,Personal device
EVID_03288,Cloud Storage,Bank transaction logs,IT department
EVID_03289,Mobile Phone,Unauthorized access logs,Financial institution
EVID_03290,Account Records,Malware traces,IT department
EVID_03291,Account Records,Forged documents,IT department
EVID_03292,USB Device,Bank transaction logs,IT department
EVID_03293,Cloud Storage,Malware traces,Internal audit
EVID_03294,USB Device,Suspicious email chain,Cloud provider
EVID_03295,Hard Drive,Suspect laptop,Cloud provider
EVID_03296,Database Dump,Suspect laptop,Personal device
EVID_03297,Cloud Storage,Suspect laptop,Corporate network
EVID_03298,Cloud Storage,Suspect laptop,Office search
EVID_03299,Database Dump,Malware traces,IT department
EVID_03300,USB Device,Forged documents,Office search
EVID_03301,Account Records,Bank transaction logs,IT department
EVID_03302,Account Records,Encrypted smartphone,Office search
EVID_03303,USB Device,Suspicious email chain,Internal audit
EVID_03304,Server Image,External USB,Cloud provider
EVID_03305,Hard Drive,Financial records,Cloud provider
EVID_03306,Account Records,Forged documents,Financial institution
EVID_03307,Database Dump,Suspicious email chain,Office search
EVID_03308,Laptop Image,Suspect laptop,Corporate network
EVID_03309,USB Device,Suspicious email chain,Cloud provider
EVID_03310,USB Device,Financial records,Law enforcement
EVID_03311,Network Logs,Suspect laptop,Internal audit
EVID_03312,Laptop Image,External USB,Office search
EVID_03313,Account Records,Financial records,Financial institution
EVID_03314,Server Image,Financial records,Personal device
EVID_03315,Cloud Storage,Malware traces,Internal audit
EVID_03316,Email Logs,Financial records,Cloud provider
EVID_03317,Server Image,Forged documents,Law enforcement
EVID_03318,Email Logs,Forged documents,Corporate network
EVID_03319,USB Device,Financial records,Office search
EVID_03320,Account Records,Encrypted smartphone,Corporate network
EVID_03321,Email Logs,Unauthorized access logs,Cloud provider
EVID_03322,Hard Drive,Bank transaction logs,Personal device
EVID_03323,Hard Drive,Bank transaction logs,Financial institution
EVID_03324,Email Logs,Unauthorized access logs,Office search
EVID_03325,Account Records,Deleted files recovery,Internal audit
EVID_03326,Mobile Phone,Malware traces,Personal device
EVID_03327,USB Device,Encrypted smartphone,Financial institution
EVID_03328,Cloud Storage,Encrypted smartphone,Internal audit
EVID_03329,Database Dump,Bank transaction logs,Cloud provider
EVID_03330,Email Logs,Financial records,Cloud provider
EVID_03331,Database Dump,Financial records,Law enforcement
EVID_03332,Laptop Image,Malware traces,Internal audit
EVID_03333,Cloud Storage,Deleted files recovery,Personal device
EVID_03334,Account Records,Malware traces,Office search
EVID_03335,Hard Drive,Forged documents,Internal audit
EVID_03336,USB Device,Encrypted smartphone,Law enforcement
EVID_03337,Hard Drive,Forged documents,Internal audit
EVID_03338,USB Device,Encrypted smartphone,Personal device
EVID_03339,Laptop Image,Deleted files recovery,Internal audit
EVID_03340,Mobile Phone,Unauthorized access logs,Internal audit
EVID_03341,Database Dump,External USB,Personal device
EVID_03342,Mobile Phone,Deleted files recovery,Corporate network
EVID_03343,Laptop Image,Forged documents,Law enforcement
EVID_03344,Cloud Storage,Forged documents,Law enforcement
EVID_03345,Network Logs,Unauthorized access logs,Corporate network
EVID_03346,Database Dump,Deleted files recovery,Cloud provider
EVID_03347,Network Logs,Encrypted smartphone,Office search
EVID_03348,Account Records,Unauthorized access logs,Office search
EVID_03349,USB Device,Encrypted smartphone,Personal device
EVID_03350,Laptop Image,External USB,Law enforcement
EVID_03351,Cloud Storage,Financial records,Personal device
EVID_03352,Account Records,Deleted files recovery,Corporate network
EVID_03353,Mobile Phone,Forged documents,Law enforcement
EVID_03354,USB Device,Deleted files recovery,Office search
EVID_03355,Account Records,Forged documents,Personal device
EVID_03356,Cloud Storage,External USB,Internal audit
EVID_03357,Account Records,Unauthorized access logs,Personal device
EVID_03358,Database Dump,Encrypted smartphone,Law enforcement
EVID_03359,Laptop Image,Suspect laptop,IT department
EVID_03360,USB Device,Unauthorized access logs,IT department
EVID_03361,Mobile Phone,Suspect laptop,Corporate network
EVID_03362,Laptop Image,Bank transaction logs,Corporate network
EVID_03363,Server Image,Deleted files recovery,IT department
EVID_03364,Hard Drive,External USB,Financial institution
EVID_03365,Laptop Image,Bank transaction logs,Corporate network
EVID_03366,Database Dump,Malware traces,Office search
EVID_03367,Server Image,Malware traces,Office search
EVID_03368,Mobile Phone,External USB,Financial institution
EVID_03369,Database Dump,Malware traces,Internal audit
EVID_03370,Database Dump,Deleted files recovery,Internal audit
EVID_03371,Email Logs,Malware traces,Financial institution
EVID_03372,Laptop Image,Deleted files recovery,Financial institution
EVID_03373,Server Image,External USB,Corporate network
EVID_03374,Laptop Image,Encrypted smartphone,Law enforcement
EVID_03375,Server Image,External USB,Internal audit
EVID_03376,Email Logs,External USB,Financial institution
EVID_03377,USB Device,Financial records,Law enforcement
EVID_03378,Laptop Image,Unauthorized access logs,Cloud provider
EVID_03379,Account Records,External USB,Internal audit
EVID_03380,Laptop Image,Unauthorized access logs,Corporate network
EVID_03381,Account Records,Unauthorized access logs,IT department
EVID_03382,USB Device,Encrypted smartphone,IT department
EVID_03383,Laptop Image,Encrypted smartphone,Corporate network
EVID_03384,Network Logs,Malware traces,Office search
EVID_03385,Account Records,Encrypted smartphone,Law enforcement
EVID_03386,Account Records,Forged documents,Law enforcement
EVID_03387,Email Logs,Encrypted smartphone,Corporate network
EVID_03388,Laptop Image,Bank transaction logs,Law enforcement
EVID_03389,Mobile Phone,Encrypted smartphone,Office search
EVID_03390,Laptop Image,External USB,Law enforcement
EVID_03391,Hard Drive,Bank transaction logs,Internal audit
EVID_03392,Database Dump,External USB,Office search
EVID_03393,Network Logs,Malware traces,Office search
EVID_03394,Cloud Storage,Deleted files recovery,Cloud provider
EVID_03395,Account Records,Forged documents,Personal device
EVID_03396,Mobile Phone,Deleted files recovery,IT department
EVID_03397,Network Logs,Encrypted smartphone,IT department
EVID_03398,Database Dump,Forged documents,IT department
EVID_03399,USB Device,Bank transaction logs,Internal audit
EVID_03400,Account Records,External USB,Internal audit
EVID_03401,Hard Drive,Suspicious email chain,Internal audit
EVID_03402,Laptop Image,Suspect laptop,Cloud provider
EVID_03403,Mobile Phone,Encrypted smartphone,Financial institution
EVID_03404,Hard Drive,Deleted files recovery,Financial institution
EVID_03405,Database Dump,Malware traces,Internal audit
EVID_03406,USB Device,Deleted files recovery,Personal device
EVID_03407,USB Device,Suspicious email chain,Financial institution
EVID_03408,USB Device,Unauthorized access logs,Personal device
EVID_03409,Server Image,Forged documents,Corporate network
EVID_03410,Hard Drive,Suspicious email chain,Office search
EVID_03411,Network Logs,Malware traces,IT department
EVID_03412,Hard Drive,Suspect laptop,Cloud provider
EVID_03413,Account Records,Encrypted smartphone,Personal device
EVID_03414,Server Image,Deleted files recovery,Internal audit
EVID_03415,Cloud Storage,Deleted files recovery,Office search
EVID_03416,Email Logs,Suspect laptop,IT department
EVID_03417,Email Logs,Suspicious email chain,Corporate network
EVID_03418,Network Logs,Unauthorized access logs,Office search
EVID_03419,Hard Drive,Unauthorized access logs,Office search
EVID_03420,Database Dump,Financial records,Cloud provider
EVID_03421,Mobile Phone,Forged documents,Office search
EVID_03422,Account Records,Financial records,Cloud provider
EVID_03423,Mobile Phone,Bank transaction logs,Law enforcement
EVID_03424,Account Records,Suspicious email chain,Financial institution
EVID_03425,Mobile Phone,Forged documents,IT department
EVID_03426,Mobile Phone,Unauthorized access logs,Law enforcement
EVID_03427,Network Logs,Bank transaction logs,Corporate network
EVID_03428,Server Image,External USB,Law enforcement
EVID_03429,Server Image,Malware traces,Law enforcement
EVID_03430,Account Records,Financial records,Personal device
EVID_03431,Account Records,Financial records,Office search
EVID_03432,Email Logs,Deleted files recovery,Cloud provider
EVID_03433,Email Logs,Forged documents,Law enforcement
EVID_03434,Network Logs,Encrypted smartphone,Office search
EVID_03435,Email Logs,Deleted files recovery,Law enforcement
EVID_03436,Server Image,Malware traces,Law enforcement
EVID_03437,Server Image,Malware traces,Financial institution
EVID_03438,Network Logs,Malware traces,Financial institution
EVID_03439,Database Dump,Unauthorized access logs,Law enforcement
EVID_03440,Hard Drive,Financial records,Financial institution
EVID_03441,Email Logs,Encrypted smartphone,Law enforcement
EVID_03442,Database Dump,Forged documents,Cloud provider
EVID_03443,Hard Drive,Encrypted smartphone,Law enforcement
EVID_03444,Network Logs,Forged documents,Office search
EVID_03445,Hard Drive,Financial records,Financial institution
EVID_03446,Database Dump,Unauthorized access logs,Internal audit
EVID_03447,Mobile Phone,Deleted files recovery,Personal device
EVID_03448,Hard Drive,Suspicious email chain,Office search
EVID_03449,Account Records,Bank transaction logs,Office search
EVID_03450,Email Logs,Encrypted smartphone,Office search
EVID_03451,Mobile Phone,Encrypted smartphone,Personal device
EVID_03452,USB Device,Forged documents,Financial institution
EVID_03453,USB Device,Bank transaction logs,Corporate network
EVID_03454,Cloud Storage,Financial records,Personal device
EVID_03455,Cloud Storage,Forged documents,Office search
EVID_03456,Account Records,Bank transaction logs,Cloud provider
EVID_03457,Account Records,Suspect laptop,Financial institution
EVID_03458,Server Image,Forged documents,Office search
EVID_03459,Laptop Image,External USB,Financial institution
EVID_03460,Mobile Phone,Malware traces,Personal device
EVID_03461,Server Image,Suspicious email chain,Personal device
EVID_03462,Database Dump,Unauthorized access logs,Internal audit
EVID_03463,Mobile Phone,Forged documents,Internal audit
EVID_03464,Cloud Storage,Encrypted smartphone,Office search
EVID_03465,Mobile Phone,Forged documents,Cloud provider
EVID_03466,Server Image,Encrypted smartphone,Financial institution
EVID_03467,USB Device,Bank transaction logs,Law enforcement
EVID_03468,Hard Drive,Forged documents,Financial institution
EVID_03469,Database Dump,Bank transaction logs,Internal audit
EVID_03470,USB Device,Bank transaction logs,Internal audit
EVID_03471,Hard Drive,Deleted files recovery,Cloud provider
EVID_03472,Server Image,Financial records,Office search
EVID_03473,Network Logs,Unauthorized access logs,Cloud provider
EVID_03474,Hard Drive,Malware traces,Corporate network
EVID_03475,Laptop Image,Forged documents,Office search
EVID_03476,Mobile Phone,Suspicious email chain,Office search
EVID_03477,Laptop Image,Encrypted smartphone,Internal audit
EVID_03478,Email Logs,Financial records,Internal audit
EVID_03479,USB Device,Financial records,Law enforcement
EVID_03480,Mobile Phone,Bank transaction logs,Law enforcement
EVID_03481,Network Logs,Suspicious email chain,Office search
EVID_03482,Database Dump,Financial records,Personal device
